age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heures_supplementaires,augmentation_salaire_precedente,distance_domicile_travail_qcut,tranche_age,ratio_stagnation,ratio_sous_responsable,age_revenu,satisfaction_moyenne,interaction_satisfaction_anciennete,taux_de_formation,heures_supplementaires_binaire,interaction_distance_heures_sup,delta_evaluation,revenu_stable,delta_eval_x_revenu_stable,frequence_deplacement_num,surmenage_transports
30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,0,0,5,9,2,Transformation Digitale,Occasionnel,1,8,4,2,1,3,1,3,3,Non,0.13,moyen_loin,Junior,0.0,0.7272727272727273,66180,2.75,27.5,0.45454545454545453,0,0,1,1,1,1,0
39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,1,1,6,5,3,Entrepreunariat,Occasionnel,0,0,4,3,2,4,3,4,3,Non,0.14,moyen_proche,Intermédiaire,0.0,0.0,81354,3.75,3.75,3.0,0,0,0,1,0,1,0
24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,1,1,2,1,3,Transformation Digitale,Occasionnel,2,0,2,3,1,4,1,2,3,Oui,0.16,proche,Junior,0.0,0.0,55032,2.25,4.5,0.6666666666666666,1,1,0,1,0,1,1
43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,0,2,3,2,2,Transformation Digitale,Occasionnel,1,4,4,4,1,3,4,2,3,Non,0.12,proche,Intermédiaire,0.5,0.6666666666666666,113735,3.25,16.25,0.5,0,0,-1,1,-1,1,0
50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,0,2,3,2,Marketing,Occasionnel,0,2,1,2,1,3,3,3,3,Oui,0.14,moyen_proche,Senior,0.5,0.5,134150,2.5,7.5,0.5,1,3,1,1,1,1,3
35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,0,0,3,2,3,Marketing,Occasionnel,2,2,4,3,1,4,1,3,3,Non,0.13,proche,Intermédiaire,0.6666666666666666,0.6666666666666666,70490,3.0,6.0,1.0,0,0,0,1,0,1,0
36,F,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,0,1,3,5,4,Infra & Cloud,Occasionnel,0,0,2,2,1,1,4,4,3,Oui,0.14,moyen_proche,Intermédiaire,0.5,0.0,123084,2.75,2.75,1.5,1,5,1,1,1,1,5
33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,0,2,3,1,3,Infra & Cloud,Frequent,1,3,3,4,2,1,1,3,3,Non,0.19,proche,Junior,0.5,0.5,177408,2.0,10.0,0.5,0,0,-1,0,0,2,0
35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,0,1,3,4,2,Autre,Occasionnel,0,0,3,3,1,4,3,3,3,Non,0.12,moyen_proche,Intermédiaire,0.0,0.0,68285,3.25,3.25,1.5,0,0,0,1,0,1,0
27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,0,1,6,2,4,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,3,Non,0.13,proche,Junior,0.0,0.0,63207,3.0,3.0,3.0,0,0,0,1,0,1,0
26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,1,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1,1,1,3,3,2,3,Non,0.12,loin,Junior,0.0,0.5,59618,2.25,2.25,1.0,0,0,2,1,2,1,0
27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,0,0,8,3,Infra & Cloud,Frequent,1,7,4,3,3,3,4,3,3,Non,0.15,moyen_loin,Junior,0.8,0.7,235602,3.5,31.5,0.0,0,0,0,0,0,2,0
30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,0,0,2,1,2,Transformation Digitale,Frequent,3,7,3,3,2,4,4,3,4,Non,0.23,proche,Junior,0.6153846153846154,0.5384615384615384,120330,3.5,42.0,0.15384615384615385,0,0,1,1,1,2,0
41,F,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,1,0,0,12,3,Entrepreunariat,Occasionnel,15,8,2,3,5,3,4,3,3,Non,0.12,moyen_loin,Intermédiaire,0.6521739130434783,0.34782608695652173,801345,3.0,66.0,0.0,0,0,0,0,0,1,0
34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,0,0,2,23,4,Marketing,Aucun,8,7,2,3,2,3,3,3,4,Non,0.2,loin,Junior,0.5,0.7,155312,2.75,24.75,0.2,0,0,1,1,1,0,0
37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,0,0,1,19,2,Infra & Cloud,Occasionnel,0,0,2,3,1,2,1,3,4,Non,0.21,loin,Intermédiaire,0.0,0.0,111814,2.0,2.0,0.5,0,0,1,1,1,1,0
46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,0,0,4,5,4,Marketing,Frequent,0,8,1,3,2,4,3,3,4,Oui,0.21,moyen_proche,Senior,0.6,0.8,265512,2.75,24.75,0.4,1,5,1,0,0,2,10
35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,0,0,2,8,1,Infra & Cloud,Occasionnel,0,1,4,4,1,4,4,3,3,Non,0.19,moyen_loin,Intermédiaire,0.0,0.5,79415,3.75,3.75,1.0,0,0,-1,1,-1,1,0
48,M,5381,Célibataire,Consulting,Consultant,9,23,1,0,1,0,2,1,2,Infra & Cloud,Occasionnel,0,0,1,2,3,3,4,3,3,Oui,0.13,proche,Senior,0.0,0.0,258288,2.75,2.75,1.0,1,1,1,0,0,1,1
28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,1,0,3,5,4,Entrepreunariat,Occasionnel,2,2,3,3,1,3,3,2,3,Oui,0.13,moyen_proche,Junior,0.6666666666666666,0.6666666666666666,96348,2.75,5.5,1.0,1,5,0,1,0,1,5
44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,0,1,2,1,5,Marketing,Occasionnel,1,3,2,3,2,1,3,2,4,Oui,0.21,proche,Intermédiaire,0.6,0.6,239976,2.0,8.0,0.4,1,1,1,0,0,1,1
35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,0,1,3,11,2,Transformation Digitale,Aucun,2,3,3,2,3,1,3,3,3,Oui,0.13,moyen_loin,Intermédiaire,0.0,0.6,345940,2.5,10.0,0.6,1,11,1,0,0,0,0
26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,0,1,2,23,3,Marketing,Occasionnel,0,0,3,2,2,4,3,2,3,Oui,0.19,loin,Junior,0.6666666666666666,0.0,108082,3.0,6.0,0.6666666666666666,1,23,1,1,1,1,23
33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,0,0,1,1,2,Infra & Cloud,Frequent,8,12,1,3,3,4,3,3,3,Oui,0.12,proche,Junior,0.875,0.75,444114,2.75,41.25,0.0625,1,1,0,0,0,2,2
35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,0,1,3,18,5,Infra & Cloud,Frequent,1,8,2,3,3,1,4,2,4,Non,0.22,loin,Intermédiaire,0.8,0.8,317415,2.25,20.25,0.3,0,0,1,0,0,2,0
35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,0,1,3,23,4,Transformation Digitale,Occasionnel,2,2,3,3,1,1,3,3,3,Oui,0.15,loin,Intermédiaire,0.6666666666666666,0.6666666666666666,140490,2.5,5.0,1.0,1,23,0,1,0,1,23
31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,0,1,3,7,4,Infra & Cloud,Occasionnel,1,7,4,3,2,4,4,2,4,Non,0.22,moyen_proche,Junior,0.875,0.875,183365,3.5,24.5,0.375,0,0,1,0,0,1,0
37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,0,1,2,1,4,Infra & Cloud,Occasionnel,0,7,1,2,2,3,3,4,3,Non,0.18,proche,Intermédiaire,0.625,0.875,221741,2.75,19.25,0.25,0,0,1,0,0,1,0
32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,0,1,3,1,3,Transformation Digitale,Occasionnel,7,8,1,3,2,4,2,3,4,Oui,0.22,proche,Junior,0.8,0.8,197184,2.5,22.5,0.3,1,1,1,0,0,1,1
38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,0,0,2,29,5,Infra & Cloud,Frequent,9,9,4,3,2,4,4,3,3,Non,0.11,loin,Intermédiaire,0.2727272727272727,0.8181818181818182,91428,3.75,37.5,0.18181818181818182,0,0,0,1,0,2,0
50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,0,1,2,7,2,Transformation Digitale,Occasionnel,13,8,2,2,5,3,4,2,3,Oui,0.12,moyen_proche,Senior,0.10714285714285714,0.2857142857142857,937000,2.75,74.25,0.07142857142857142,1,7,1,0,0,1,7
59,F,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,0,0,3,25,3,Infra & Cloud,Occasionnel,7,9,1,3,3,1,4,2,3,Non,0.11,loin,Senior,0.7272727272727273,0.4090909090909091,450583,2.0,42.0,0.13636363636363635,0,0,0,0,0,1,0
36,F,10096,Divorcé(e),Consulting,Manager,1,17,17,14,0,3,2,8,3,Entrepreunariat,Occasionnel,12,8,3,3,3,3,2,3,3,Non,0.13,moyen_loin,Intermédiaire,0.7777777777777778,0.4444444444444444,363456,2.75,46.75,0.1111111111111111,0,0,0,0,0,1,0
55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,0,3,2,8,3,Transformation Digitale,Occasionnel,0,2,4,3,4,3,3,3,3,Oui,0.14,moyen_loin,Senior,0.0,0.3333333333333333,811580,3.25,16.25,0.3333333333333333,1,8,0,0,0,1,8
36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,0,0,3,11,3,Infra & Cloud,Frequent,0,3,2,2,2,2,3,3,3,Non,0.13,moyen_loin,Intermédiaire,0.7142857142857143,0.42857142857142855,233964,2.5,15.0,0.42857142857142855,0,0,1,0,0,2,0
45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,0,1,2,7,3,Infra & Cloud,Occasionnel,0,0,2,3,3,1,3,3,3,Non,0.17,moyen_proche,Intermédiaire,0.0,0.0,437580,2.25,2.25,1.0,0,0,0,0,0,1,0
35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,0,1,2,1,3,Transformation Digitale,Frequent,1,2,2,3,1,1,4,2,3,Non,0.13,proche,Intermédiaire,0.5,0.5,76790,2.25,6.75,0.5,0,0,0,1,0,2,0
36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,1,1,0,9,3,Transformation Digitale,Occasionnel,0,0,4,2,1,3,1,2,3,Oui,0.17,moyen_loin,Intermédiaire,0.0,0.0,121968,2.5,2.5,0.0,1,9,1,1,1,1,9
59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,0,0,2,1,1,Infra & Cloud,Frequent,1,3,1,2,2,3,4,2,3,Non,0.11,proche,Senior,0.6,0.6,322907,2.5,10.0,0.4,0,0,1,0,0,2,0
29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,0,1,3,2,3,Infra & Cloud,Occasionnel,0,4,3,3,1,2,4,3,4,Non,0.23,proche,Junior,0.6666666666666666,0.6666666666666666,78387,3.0,15.0,0.5,0,0,1,1,1,1,0
31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,0,0,4,1,4,Transformation Digitale,Occasionnel,1,0,3,3,1,2,2,3,3,Non,0.17,proche,Junior,0.5,0.0,77531,2.5,2.5,2.0,0,0,0,1,0,1,0
32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,0,2,3,1,3,Infra & Cloud,Occasionnel,0,9,2,3,2,2,2,3,3,Non,0.17,proche,Junior,0.36363636363636365,0.8181818181818182,199040,2.25,22.5,0.2727272727272727,0,0,0,0,0,1,0
36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0,2,4,1,4,2,3,3,Non,0.12,moyen_proche,Intermédiaire,0.0,0.0,109368,2.75,2.75,1.5,0,0,-1,1,-1,1,0
31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,0,0,2,8,4,Infra & Cloud,Occasionnel,1,8,3,3,2,4,4,3,4,Non,0.23,moyen_loin,Junior,0.5833333333333334,0.6666666666666666,137144,3.5,38.5,0.16666666666666666,0,0,1,1,1,1,0
35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,0,0,2,1,4,Marketing,Occasionnel,2,8,3,2,2,1,2,3,3,Non,0.14,proche,Intermédiaire,0.8125,0.5,150920,2.25,33.75,0.125,0,0,1,1,1,1,0
45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,0,0,3,6,4,Autre,Occasionnel,0,0,4,3,3,1,2,4,3,Oui,0.14,moyen_proche,Intermédiaire,0.0,0.0,596025,2.75,0.0,3.0,1,6,0,0,0,1,6
37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,0,0,3,7,4,Transformation Digitale,Occasionnel,0,2,1,3,3,3,1,4,3,Non,0.13,moyen_proche,Intermédiaire,0.3333333333333333,0.3333333333333333,505568,2.25,11.25,0.5,0,0,0,0,0,1,0
46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,0,1,2,5,2,Transformation Digitale,Occasionnel,0,2,2,3,2,2,4,3,4,Oui,0.22,moyen_proche,Senior,0.4,0.4,230966,2.75,11.0,0.4,1,5,1,0,0,1,5
30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,0,2,1,1,1,Infra & Cloud,Occasionnel,3,0,4,2,2,4,3,2,3,Oui,0.12,proche,Junior,0.7272727272727273,0.0,153780,3.25,32.5,0.09090909090909091,1,1,1,0,0,1,1
35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,0,0,3,1,3,Transformation Digitale,Occasionnel,0,4,2,2,1,3,1,3,3,Non,0.18,proche,Intermédiaire,0.5714285714285714,0.5714285714285714,100065,2.25,13.5,0.42857142857142855,0,0,1,1,1,1,0
55,M,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,0,1,4,1,2,Infra & Cloud,Occasionnel,1,0,1,3,3,4,4,3,3,Non,0.14,proche,Senior,0.0,0.0,563145,3.0,3.0,2.0,0,0,0,0,0,1,0
38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,0,3,3,6,3,Transformation Digitale,Aucun,1,9,2,1,2,4,4,3,3,Oui,0.12,moyen_proche,Intermédiaire,0.7857142857142857,0.6428571428571429,202502,3.25,42.25,0.21428571428571427,1,6,2,0,0,0,0
34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,0,0,2,1,2,Transformation Digitale,Occasionnel,1,3,1,3,2,2,3,3,3,Non,0.15,proche,Junior,0.3333333333333333,0.5,147050,2.25,11.25,0.3333333333333333,0,0,0,1,0,1,0
56,M,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,0,0,3,7,3,Infra & Cloud,Occasionnel,0,2,4,1,3,4,1,2,3,Non,0.11,moyen_proche,Senior,0.5714285714285714,0.2857142857142857,406560,2.75,16.5,0.42857142857142855,0,0,2,0,0,1,0
23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0,0,3,3,1,1,3,3,3,Non,0.13,proche,Junior,0.0,0.0,53406,2.5,0.0,3.0,0,0,0,1,0,1,0
51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,0,2,4,9,4,Infra & Cloud,Occasionnel,0,3,4,3,1,4,2,3,4,Non,0.23,moyen_loin,Senior,0.4,0.6,105825,3.25,13.0,0.8,0,0,1,1,1,1,0
30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,0,3,3,2,3,Infra & Cloud,Occasionnel,10,8,3,2,2,4,1,3,3,Non,0.19,proche,Junior,0.8333333333333334,0.6666666666666666,124560,2.75,30.25,0.25,0,0,1,1,1,1,0
46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,1,0,3,9,2,Transformation Digitale,Occasionnel,4,7,3,2,3,4,4,3,3,Non,0.16,moyen_loin,Senior,0.8,0.7,442474,3.5,31.5,0.3,0,0,1,0,0,1,0
40,M,13503,Marié(e),Consulting,Manager,1,22,22,3,0,1,3,1,4,Infra & Cloud,Frequent,11,11,3,2,4,2,4,2,4,Non,0.22,proche,Intermédiaire,0.13043478260869565,0.4782608695652174,540120,2.75,60.5,0.13043478260869565,0,0,2,0,0,2,0
51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,0,0,2,21,4,Marketing,Occasionnel,1,0,3,3,2,4,4,1,4,Oui,0.22,loin,Senior,0.6363636363636364,0.0,277491,3.0,30.0,0.18181818181818182,1,21,1,0,0,1,21
30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,0,3,4,4,2,Transformation Digitale,Occasionnel,2,7,3,2,2,2,2,2,3,Oui,0.12,moyen_proche,Junior,0.6666666666666666,0.5833333333333334,156270,2.25,24.75,0.3333333333333333,1,4,1,0,0,1,4
46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,0,1,5,1,3,Transformation Digitale,Frequent,9,5,3,2,3,1,3,2,3,Oui,0.13,proche,Senior,0.8181818181818182,0.45454545454545453,490958,2.25,22.5,0.45454545454545453,1,1,1,0,0,2,2
32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,0,0,0,6,4,Transformation Digitale,Occasionnel,5,7,2,3,2,3,1,3,3,Non,0.16,moyen_proche,Junior,0.6666666666666666,0.5833333333333334,160320,2.25,24.75,0.0,0,0,0,0,0,1,0
