age,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,genre_binaire,tranche_age,ratio_stagnation,ratio_sous_responsable,age_revenu,satisfaction_moyenne,interaction_satisfaction_anciennete,taux_de_formation,heures_supplementaires_binaire,interaction_distance_heures_sup,frequence_deplacement_num,surmenage_transports
33,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,0,2,3,1,3,Infra & Cloud,1,3,3,4,2,1,1,3,3,0.19,0,Junior,0.5,0.5,177408,2.0,10.0,0.5,0,0,2,0
35,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,0,1,3,4,2,Autre,0,0,3,3,1,4,3,3,3,0.12,1,Intermédiaire,0.0,0.0,68285,3.25,3.25,1.5,0,0,1,0
27,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,0,1,6,2,4,Infra & Cloud,0,0,4,3,1,1,4,3,3,0.13,0,Junior,0.0,0.0,63207,3.0,3.0,3.0,0,0,1,0
26,2293,Célibataire,Consulting,Consultant,1,1,1,0,1,0,2,25,3,Infra & Cloud,0,1,1,1,1,3,3,2,3,0.12,1,Junior,0.0,0.5,59618,2.25,2.25,1.0,0,0,1,0
27,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,0,0,8,3,Infra & Cloud,1,7,4,3,3,3,4,3,3,0.15,1,Junior,0.8,0.7,235602,3.5,31.5,0.0,0,0,2,0
30,4011,Célibataire,Consulting,Consultant,1,12,12,8,0,0,2,1,2,Transformation Digitale,3,7,3,3,2,4,4,3,4,0.23,0,Junior,0.6153846153846154,0.5384615384615384,120330,3.5,42.0,0.15384615384615385,0,0,2,0
41,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,1,0,0,12,3,Entrepreunariat,15,8,2,3,5,3,4,3,3,0.12,0,Intermédiaire,0.6521739130434783,0.34782608695652173,801345,3.0,66.0,0.0,0,0,1,0
34,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,0,0,2,23,4,Marketing,8,7,2,3,2,3,3,3,4,0.2,1,Junior,0.5,0.7,155312,2.75,24.75,0.2,0,0,0,0
37,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,0,0,1,19,2,Infra & Cloud,0,0,2,3,1,2,1,3,4,0.21,1,Intermédiaire,0.0,0.0,111814,2.0,2.0,0.5,0,0,1,0
46,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,0,0,4,5,4,Marketing,0,8,1,3,2,4,3,3,4,0.21,1,Senior,0.6,0.8,265512,2.75,24.75,0.4,1,5,2,10
35,2269,Marié(e),Consulting,Consultant,1,1,1,0,0,0,2,8,1,Infra & Cloud,0,1,4,4,1,4,4,3,3,0.19,1,Intermédiaire,0.0,0.5,79415,3.75,3.75,1.0,0,0,1,0
48,5381,Célibataire,Consulting,Consultant,9,23,1,0,1,0,2,1,2,Infra & Cloud,0,0,1,2,3,3,4,3,3,0.13,1,Senior,0.0,0.0,258288,2.75,2.75,1.0,1,1,1,1
28,3441,Célibataire,Consulting,Consultant,1,2,2,2,1,0,3,5,4,Entrepreunariat,2,2,3,3,1,3,3,2,3,0.13,1,Junior,0.6666666666666666,0.6666666666666666,96348,2.75,5.5,1.0,1,5,1,5
44,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,0,1,2,1,5,Marketing,1,3,2,3,2,1,3,2,4,0.21,0,Intermédiaire,0.6,0.6,239976,2.0,8.0,0.4,1,1,1,1
35,9884,Marié(e),Consulting,Manager,2,10,4,0,0,1,3,11,2,Transformation Digitale,2,3,3,2,3,1,3,3,3,0.13,1,Intermédiaire,0.0,0.6,345940,2.5,10.0,0.6,1,11,0,0
26,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,0,1,2,23,3,Marketing,0,0,3,2,2,4,3,2,3,0.19,0,Junior,0.6666666666666666,0.0,108082,3.0,6.0,0.6666666666666666,1,23,1,23
33,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,0,0,1,1,2,Infra & Cloud,8,12,1,3,3,4,3,3,3,0.12,0,Junior,0.875,0.75,444114,2.75,41.25,0.0625,1,1,2,2
35,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,0,1,3,18,5,Infra & Cloud,1,8,2,3,3,1,4,2,4,0.22,1,Intermédiaire,0.8,0.8,317415,2.25,20.25,0.3,0,0,2,0
35,4014,Marié(e),Consulting,Consultant,3,4,2,2,0,1,3,23,4,Transformation Digitale,2,2,3,3,1,1,3,3,3,0.15,0,Intermédiaire,0.6666666666666666,0.6666666666666666,140490,2.5,5.0,1.0,1,23,1,23
31,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,0,1,3,7,4,Infra & Cloud,1,7,4,3,2,4,4,2,4,0.22,1,Junior,0.875,0.875,183365,3.5,24.5,0.375,0,0,1,0
37,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,0,1,2,1,4,Infra & Cloud,0,7,1,2,2,3,3,4,3,0.18,1,Intermédiaire,0.625,0.875,221741,2.75,19.25,0.25,0,0,1,0
32,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,0,1,3,1,3,Transformation Digitale,7,8,1,3,2,4,2,3,4,0.22,1,Junior,0.8,0.8,197184,2.5,22.5,0.3,1,1,1,1
38,2406,Célibataire,Consulting,Consultant,1,10,10,3,0,0,2,29,5,Infra & Cloud,9,9,4,3,2,4,4,3,3,0.11,0,Intermédiaire,0.2727272727272727,0.8181818181818182,91428,3.75,37.5,0.18181818181818182,0,0,2,0
50,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,0,1,2,7,2,Transformation Digitale,13,8,2,2,5,3,4,2,3,0.12,0,Senior,0.10714285714285714,0.2857142857142857,937000,2.75,74.25,0.07142857142857142,1,7,1,7
59,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,0,0,3,25,3,Infra & Cloud,7,9,1,3,3,1,4,2,3,0.11,0,Senior,0.7272727272727273,0.4090909090909091,450583,2.0,42.0,0.13636363636363635,0,0,1,0
36,10096,Divorcé(e),Consulting,Manager,1,17,17,14,0,3,2,8,3,Entrepreunariat,12,8,3,3,3,3,2,3,3,0.13,0,Intermédiaire,0.7777777777777778,0.4444444444444444,363456,2.75,46.75,0.1111111111111111,0,0,1,0
55,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,0,3,2,8,3,Transformation Digitale,0,2,4,3,4,3,3,3,3,0.14,0,Senior,0.0,0.3333333333333333,811580,3.25,16.25,0.3333333333333333,1,8,1,8
36,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,0,0,3,11,3,Infra & Cloud,0,3,2,2,2,2,3,3,3,0.13,1,Intermédiaire,0.7142857142857143,0.42857142857142855,233964,2.5,15.0,0.42857142857142855,0,0,2,0
45,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,0,1,2,7,3,Infra & Cloud,0,0,2,3,3,1,3,3,3,0.17,1,Intermédiaire,0.0,0.0,437580,2.25,2.25,1.0,0,0,1,0
35,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,0,1,2,1,3,Transformation Digitale,1,2,2,3,1,1,4,2,3,0.13,1,Intermédiaire,0.5,0.5,76790,2.25,6.75,0.5,0,0,2,0
36,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,1,1,0,9,3,Transformation Digitale,0,0,4,2,1,3,1,2,3,0.17,1,Intermédiaire,0.0,0.0,121968,2.5,2.5,0.0,1,9,1,9
59,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,0,0,2,1,1,Infra & Cloud,1,3,1,2,2,3,4,2,3,0.11,0,Senior,0.6,0.6,322907,2.5,10.0,0.4,0,0,2,0
29,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,0,1,3,2,3,Infra & Cloud,0,4,3,3,1,2,4,3,4,0.23,1,Junior,0.6666666666666666,0.6666666666666666,78387,3.0,15.0,0.5,0,0,1,0
31,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,0,0,4,1,4,Transformation Digitale,1,0,3,3,1,2,2,3,3,0.17,1,Junior,0.5,0.0,77531,2.5,2.5,2.0,0,0,1,0
32,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,0,2,3,1,3,Infra & Cloud,0,9,2,3,2,2,2,3,3,0.17,1,Junior,0.36363636363636365,0.8181818181818182,199040,2.25,22.5,0.2727272727272727,0,0,1,0
36,3038,Marié(e),Consulting,Consultant,3,5,1,0,0,0,3,6,3,Infra & Cloud,0,0,2,4,1,4,2,3,3,0.12,0,Intermédiaire,0.0,0.0,109368,2.75,2.75,1.5,0,0,1,0
31,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,0,0,2,8,4,Infra & Cloud,1,8,3,3,2,4,4,3,4,0.23,0,Junior,0.5833333333333334,0.6666666666666666,137144,3.5,38.5,0.16666666666666666,0,0,1,0
35,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,0,0,2,1,4,Marketing,2,8,3,2,2,1,2,3,3,0.14,1,Intermédiaire,0.8125,0.5,150920,2.25,33.75,0.125,0,0,1,0
45,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,0,0,3,6,4,Autre,0,0,4,3,3,1,2,4,3,0.14,1,Intermédiaire,0.0,0.0,596025,2.75,0.0,3.0,1,6,1,6
37,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,0,0,3,7,4,Transformation Digitale,0,2,1,3,3,3,1,4,3,0.13,1,Intermédiaire,0.3333333333333333,0.3333333333333333,505568,2.25,11.25,0.5,0,0,1,0
46,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,0,1,2,5,2,Transformation Digitale,0,2,2,3,2,2,4,3,4,0.22,1,Senior,0.4,0.4,230966,2.75,11.0,0.4,1,5,1,5
30,5126,Marié(e),Consulting,Consultant,1,10,10,8,0,2,1,1,1,Infra & Cloud,3,0,4,2,2,4,3,2,3,0.12,1,Junior,0.7272727272727273,0.0,153780,3.25,32.5,0.09090909090909091,1,1,1,1
35,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,0,0,3,1,3,Transformation Digitale,0,4,2,2,1,3,1,3,3,0.18,1,Intermédiaire,0.5714285714285714,0.5714285714285714,100065,2.25,13.5,0.42857142857142855,0,0,1,0
55,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,0,1,4,1,2,Infra & Cloud,1,0,1,3,3,4,4,3,3,0.14,1,Senior,0.0,0.0,563145,3.0,3.0,2.0,0,0,1,0
38,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,0,3,3,6,3,Transformation Digitale,1,9,2,1,2,4,4,3,3,0.12,0,Intermédiaire,0.7857142857142857,0.6428571428571429,202502,3.25,42.25,0.21428571428571427,1,6,0,0
34,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,0,0,2,1,2,Transformation Digitale,1,3,1,3,2,2,3,3,3,0.15,1,Junior,0.3333333333333333,0.5,147050,2.25,11.25,0.3333333333333333,0,0,1,0
56,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,0,0,3,7,3,Infra & Cloud,0,2,4,1,3,4,1,2,3,0.11,1,Senior,0.5714285714285714,0.2857142857142857,406560,2.75,16.5,0.42857142857142855,0,0,1,0
23,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,0,1,3,2,1,Entrepreunariat,0,0,3,3,1,1,3,3,3,0.13,1,Junior,0.0,0.0,53406,2.5,0.0,3.0,0,0,1,0
51,2075,Marié(e),Consulting,Consultant,3,10,4,2,0,2,4,9,4,Infra & Cloud,0,3,4,3,1,4,2,3,4,0.23,1,Senior,0.4,0.6,105825,3.25,13.0,0.8,0,0,1,0
30,4152,Marié(e),Consulting,Manager,1,11,11,10,0,3,3,2,3,Infra & Cloud,10,8,3,2,2,4,1,3,3,0.19,1,Junior,0.8333333333333334,0.6666666666666666,124560,2.75,30.25,0.25,0,0,1,0
46,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,1,0,3,9,2,Transformation Digitale,4,7,3,2,3,4,4,3,3,0.16,1,Senior,0.8,0.7,442474,3.5,31.5,0.3,0,0,1,0
40,13503,Marié(e),Consulting,Manager,1,22,22,3,0,1,3,1,4,Infra & Cloud,11,11,3,2,4,2,4,2,4,0.22,1,Intermédiaire,0.13043478260869565,0.4782608695652174,540120,2.75,60.5,0.13043478260869565,0,0,2,0
51,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,0,0,2,21,4,Marketing,1,0,3,3,2,4,4,1,4,0.22,1,Senior,0.6363636363636364,0.0,277491,3.0,30.0,0.18181818181818182,1,21,1,21
30,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,0,3,4,4,2,Transformation Digitale,2,7,3,2,2,2,2,2,3,0.12,0,Junior,0.6666666666666666,0.5833333333333334,156270,2.25,24.75,0.3333333333333333,1,4,1,4
46,10673,Marié(e),Consulting,Manager,2,21,10,9,0,1,5,1,3,Transformation Digitale,9,5,3,2,3,1,3,2,3,0.13,1,Senior,0.8181818181818182,0.45454545454545453,490958,2.25,22.5,0.45454545454545453,1,1,2,2
32,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,0,0,0,6,4,Transformation Digitale,5,7,2,3,2,3,1,3,3,0.16,1,Junior,0.6666666666666666,0.5833333333333334,160320,2.25,24.75,0.0,0,0,1,0
54,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,0,1,5,2,4,Entrepreunariat,0,3,1,3,3,3,1,1,3,0.12,0,Senior,0.6,0.6,731646,1.5,6.0,1.0,0,0,1,0
24,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,0,1,2,3,2,Autre,0,2,1,3,2,3,1,2,4,0.21,0,Junior,0.5,0.5,119976,1.75,5.25,0.5,0,0,1,0
28,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,0,0,3,4,3,Transformation Digitale,0,4,2,3,2,3,2,4,3,0.15,1,Junior,0.6666666666666666,0.6666666666666666,118188,2.75,13.75,0.5,0,0,0,0
58,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,0,0,1,10,4,Transformation Digitale,1,8,4,3,4,3,3,2,3,0.13,1,Senior,0.2631578947368421,0.21052631578947367,804576,3.0,111.0,0.02631578947368421,0,0,1,0
44,2042,Marié(e),Consulting,Consultant,4,17,3,2,0,1,3,23,3,Transformation Digitale,1,2,2,3,2,2,3,4,3,0.12,1,Intermédiaire,0.5,0.5,89848,2.75,8.25,0.75,0,0,0,0
37,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,1,0,3,6,4,Ressources Humaines,0,2,3,3,1,1,4,3,4,0.22,1,Intermédiaire,0.5,0.5,76701,2.75,8.25,0.75,1,6,1,6
32,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,0,2,1,1,Infra & Cloud,0,0,4,3,1,1,4,3,3,0.13,1,Junior,0.0,0.0,94592,3.0,3.0,1.0,0,0,1,0
20,2926,Célibataire,Consulting,Consultant,1,1,1,0,1,0,5,6,3,Infra & Cloud,1,0,4,2,1,4,2,3,3,0.18,0,Junior,0.0,0.0,58520,3.25,3.25,2.5,1,6,2,12
34,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,0,0,3,6,4,Autre,2,10,1,3,2,3,3,3,3,0.14,0,Junior,0.7647058823529411,0.5882352941176471,163506,2.5,40.0,0.17647058823529413,0,0,1,0
37,5163,Divorcé(e),Consulting,Manager,5,17,1,0,0,1,2,2,2,Infra & Cloud,0,0,3,2,2,4,4,4,3,0.14,1,Intermédiaire,0.0,0.0,191031,3.75,3.75,1.0,0,0,0,0
59,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,0,1,3,2,4,Ressources Humaines,2,2,3,2,5,4,4,3,4,0.21,0,Senior,0.5,0.5,1111796,3.5,10.5,0.75,0,0,0,0
50,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,0,0,1,1,3,Infra & Cloud,0,7,1,3,5,2,1,2,3,0.19,0,Senior,0.3333333333333333,0.7777777777777778,908600,1.5,12.0,0.1111111111111111,1,1,2,2
25,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,1,0,1,5,3,Marketing,0,3,3,2,2,3,4,3,3,0.11,1,Junior,0.5714285714285714,0.42857142857142855,143600,3.25,19.5,0.14285714285714285,1,5,1,5
25,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,0,2,2,7,1,Transformation Digitale,2,1,4,2,1,4,3,3,3,0.11,1,Junior,0.6666666666666666,0.3333333333333333,72225,3.5,7.0,0.6666666666666666,0,0,1,0
22,2871,Célibataire,Consulting,Consultant,1,1,0,0,0,0,5,15,3,Transformation Digitale,0,0,2,3,1,4,3,3,3,0.15,0,Junior,0.0,0.0,63162,3.0,0.0,5.0,0,0,1,0
51,7484,Célibataire,Consulting,Manager,3,23,13,12,0,0,1,1,4,Transformation Digitale,12,8,1,2,3,1,3,2,4,0.2,0,Senior,0.8571428571428571,0.5714285714285714,381684,1.75,22.75,0.07142857142857142,0,0,2,0
34,6074,Célibataire,Consulting,Consultant,1,9,9,7,1,0,3,7,3,Infra & Cloud,0,6,1,1,2,3,4,3,4,0.24,1,Junior,0.7,0.6,206516,2.75,24.75,0.3,1,7,2,14
54,17328,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,0,0,3,26,3,Ressources Humaines,4,4,4,4,4,4,3,3,3,0.12,0,Senior,0.5,0.6666666666666666,935712,3.5,17.5,0.5,1,26,0,0
